artista,resumen,popularidad,reproducciones,similares
Nirvana,"There are multiple artists tracked as ""Nirvana"" on Last.fm. Following are six, listed in order of prominence:

1) Nirvana was a popular and highly influential American grunge band. The band formed in Aberdeen, Washington in 1987, and it was part of the Seattle grunge scene of the late 80s, alongside bands like Pearl Jam, Alice in Chains and Soundgarden. As their popularity rose, alternative rock became a dominant genre on American and Canadian radio and music television during the early-to-mid '90s. <a href=""https://www.last.fm/music/Nirvana"">Read more on Last.fm</a>",6404704,431551564,"['Kurt Cobain', 'Alice in Chains', 'Soundgarden', 'Meat Puppets', 'Mudhoney']"
Danger Man," Es en Panamá, país donde se inició originalmente el movimiento del reggae en español, donde nació, creció y se consagró como artista, Alonso Blackwood, mejor conocido como, Danger Man. Inspirado en sus raíces afro antillanas, Danger Man, se interesó en el género del reggae en la década de los '80, cuando junto a sus compañeros de internado improvisaban algunos ritmos; pero no es hasta 1991, cuando estrenó su primer tema musical titulado ""Llegó el sonido del gun"". <a href=""https://www.last.fm/music/Danger+Man"">Read more on Last.fm</a>",3299,53106,"['El Roockie', 'Valentino GRM', 'Mr. Saik', 'Llevarte a Marte', 'El Boys C']"
Barski Spomeniki," <a href=""https://www.last.fm/music/Barski+spomeniki"">Read more on Last.fm</a>",46,254,"['Samo Boris', 'Ironic Tronic', 'Valterap', 'b.d.m.', 'Z.ieban.e']"
Pappo,"Pappo (Buenos Aires, March 10th, 1950 - Luján, Buenos Aires province, February 24th, 2005), born Norberto Napolitano, is definitely one of the most relevant icons on the heavy rock and blues mainstream of over the last 30 years in Argentina's musical showbiz, if not the one and only representative guitarist/songwriter of the genre all across South America.

A native of the middle-class La Paternal neighborhood in Buenos Aires, Pappo started playing the guitar at the age of ten <a href=""https://www.last.fm/music/Pappo"">Read more on Last.fm</a>",52082,552773,"[""Pappo's Blues"", 'La Renga', 'Divididos', 'Riff', 'Ratones Paranoicos']"
Plain White T's,"Plain White T's are a pop-punk band formed in 1997 in Illinois, United States. The band is best known for their number-one hit song ""Hey There Delilah"", which achieved platinum status in 2007 and earned two Grammy nominations. The songs ""1, 2, 3, 4"" and ""Rhythm of Love"" were also certified platinum in 2009 and 2011 respectively.

For over a decade, Plain White T's have been playing to packed audiences craving for that perfect pop-punk punch. Their journey <a href=""https://www.last.fm/music/Plain+White+T%27s"">Read more on Last.fm</a>",2166992,31519035,"['Boys Like Girls', 'The All-American Rejects', 'Simple Plan', 'Mayday Parade', 'All Time Low']"
Naughty By Nature,"Naughty by Nature is a hip hop group that at the time of its formation in 1991, consisted of Treach, Vinnie, and the DJ Kay Gee. 

The group formed in East Orange, New Jersey, and first appeared on the music scene in the late 1980's releasing an album titled The Independent Leaders, under their then name The New Style. The album generated the minor hit ""Scuffin' Those Knees"". After the release of their first album, the group was subsequently mentored by fellow New Jersey native Queen Latifah and consequently changed their name. <a href=""https://www.last.fm/music/Naughty+By+Nature"">Read more on Last.fm</a>",673270,5438255,"['Das EFX', 'House of Pain', 'Lords of the Underground', 'LL Cool J', 'EPMD']"
Dobleache," <a href=""https://www.last.fm/music/Dobleache"">Read more on Last.fm</a>",732,4889,"['El Payo Malo', 'Fill Black', 'Explosión Suprema', 'Cuarto Poder', 'Juaninacka']"
GZA,"Gary Grice (born August 22, 1966), better known by his stage name GZA ([ˈdʒɪzʌ]), is an American hip hop artist best known as a founding member of seminal hip hop group the Wu-Tang Clan and for his inclusion on their group albums, his groupmates' solo releases and a successful solo career.

Born in Staten Island, Grice developed an interest in hip-hop by attending block parties as a child in the late '70's. He formed a three-man group with his cousins, who would later be known as RZA and Ol' Dirty Bastard. <a href=""https://www.last.fm/music/+noredirect/GZA"">Read more on Last.fm</a>",327891,6340284,[]
Timbaland,"Timothy Zachery Mosley (born March 10, 1972 in Norfolk, Virginia, United States) is a Grammy award winning record producer, rapper and singer whose style of production and arranging was very influential in music during the mid-1990s. With partner Magoo, he is a member of the hip hop group Timbaland & Magoo and is the older brother of rapper Sebastian. He released his debut solo album, Tim's Bio: Life From Da Bassment in 1998, followed by Shock Value in 2007, and its follow up, Shock Value II in 2009. <a href=""https://www.last.fm/music/Timbaland"">Read more on Last.fm</a>",3009189,48364447,"['Timbaland & Magoo', 'Flo Rida', 'Keri Hilson', 'Justin Timberlake', 'Taio Cruz']"
Unión Habana," <a href=""https://www.last.fm/music/Uni%C3%B3n+Habana"">Read more on Last.fm</a>",28,53,[]
Lartiste," <a href=""https://www.last.fm/music/Lartiste"">Read more on Last.fm</a>",77803,1006785,"['Maître Gims', 'Dadju', 'Alonzo', 'KeBlack', 'Black M']"
Nancy Ajram,"Nancy Ajram (نانسي عجرم) or Nancy Nabil Ajram (Arabic: نانسي نبيل عجرم‎) (born May 16, 1983) is a multi-platinum Lebanese pop folk artist. Considered one of the decade's most important superstars of the Middle East & Arab world, Ajram has sold, by 2007, over 30 million records ranking 3rd best selling female artist in Lebanese history. Ajram has secured a sensational status in the Middle East by releasing seven albums to date <a href=""https://www.last.fm/music/Nancy+Ajram"">Read more on Last.fm</a>",154515,3031152,"['Haifa Wehbe', 'Elissa', 'Carole Samaha', 'Myriam Fares', 'Yara']"
A-do," <a href=""https://www.last.fm/music/A-Do"">Read more on Last.fm</a>",5755,55134,"['Phil Chang', 'Zhang Zhen Yue', 'Joi Chua', 'Tiger Hu', 'Jia Jia']"
La Cliqua,"La Cliqua is a French hip hop group, featuring Rocca, a bilingual French rapper with Colombian roots. Other members include Kohndo, Daddy Lord C and Raphaël.

Discography

    * 1995 Conçu pour durer
    * 1999 La Cliqua
 <a href=""https://www.last.fm/music/La+Cliqua"">Read more on Last.fm</a>",16320,186684,"['Pejmaxx', 'Haroun', 'La Brigade', 'Soklak', 'Ali Shaheed Muhammad']"
Gregg Karukas,"Gregg Karukas is a smooth jazz keyboardist and pianist who originally hails from the Washington, DC-Maryland area. He experimented with keyboards as a child, but it was not until his teens that he pursued music professionally. Gradually, he developed a relaxing smooth jazz style of music that made him a mainstay on smooth jazz radio stations.

Karukas is always striving to write music that evokes strong emotions; his best-known single, ""Nightshift"", reflects the funky, smooth jazzy styling familiar to his fans. <a href=""https://www.last.fm/music/Gregg+Karukas"">Read more on Last.fm</a>",74151,752568,"['Rick Braun', 'Euge Groove', 'Brian Simpson', 'Norman Brown', 'Richard Elliot']"
Cubanos en la Red," <a href=""https://www.last.fm/music/Cubanos+en+la+Red"">Read more on Last.fm</a>",91,259,"['Anónimo Consejo', 'Madera Limpia', 'Ogguere', 'Doble Filo', 'Haila']"
Linkin Park,"Linkin Park are an American rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. Categorized as alternative rock <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>",5799723,509579450,"['Mike Shinoda', 'Dead by Sunrise', 'Jay-Z and Linkin Park', 'Dead Sara', 'Grey Daze']"
Handsome Boy Modeling School,"Handsome Boy Modeling School were Prince Paul (best-known for his work with De la Soul and Stetsasonic) and Dan Nakamura (a.k.a. Dan the Automator), hugely successful hip-hop producers in their own right.  They released two CDs in total: So...How's Your Girl? in 1999 and White People in 2004, collaborating with a mix of diverse artists, ranging from hip-hop heavyweights Del tha Funkee Homosapien and RZA through to The Mars Volta and indie-darling Cat Power. <a href=""https://www.last.fm/music/Handsome+Boy+Modeling+School"">Read more on Last.fm</a>",557346,6375673,"['Lovage', 'Deltron 3030', 'Dr. Octagon', 'Del Tha Funkee Homosapien', 'RJD2']"
The Pussycat Dolls,"The Pussycat Dolls began as a burlesque troupe based in Los Angeles, California, U.S., and expanded to Caesars Palace in Las Vegas. The group, which was founded by choreographer Robin Antin in 1995, eventually got a record deal in 2003 with A&M Records and Interscope Records. They were transferred and moulded into a music group and by 2005 they had recorded their first album PCD.

PCD, was released September 12th 2005 in the UK and September 13th in the US. <a href=""https://www.last.fm/music/The+Pussycat+Dolls"">Read more on Last.fm</a>",2936620,45409394,"['Nicole Scherzinger', 'Fergie', 'Danity Kane', 'Girlicious', 'Christina Aguilera']"
Fondo Flamenco,"Fonco Flamenco is a group from Sevilla, Spain composed by Astola, Antonio and Rafael. The group started with Astola and Rafael at their early age of 13. Antonio came later on. Astola writes and composes the songs for the group. He is also the one credited for the idea of naming the group Fondo Flamenco. The name came as result of a comment that he made to Rafael while they were taking pictures of themselves in a tipical sevillian courtyard and he told Rafael ""Let's take a picture of us with this flamenco backgroung (fondo flamenco)"". <a href=""https://www.last.fm/music/Fondo+Flamenco"">Read more on Last.fm</a>",51610,592584,"['Estopa', 'El Barrio', 'Andy & Lucas', 'Melendi', 'Manuel Carrasco']"
Laura Pausini,"Laura Pausini is a five-time Grammy Award winning Italian singer, songwriter, producer and TV host. She is the most famous and successful Italian artist worldwide. Pausini is famed for her soulful voice and her romantic Latin pop and Pop ballads and love songs, although she has also dealt with other subjects such as poverty, war, and racism, among other social issues. She is fluent in several languages. Although she mainly sings in Spanish and Italian, she also sings in Portuguese, English, and French. <a href=""https://www.last.fm/music/Laura+Pausini"">Read more on Last.fm</a>",489490,17757675,"['Tiziano Ferro', 'Giorgia', 'Thalía', 'Eros Ramazzotti', 'Alejandro Sanz']"
Z'África Brasil,"  Um dos mais importantes e representativos nomes do rap nacional, cujo currículo inclui quatro turnês internacionais, eles chegam-chegando nesse “Tem Cor Age” (ybmusic). Verdadeira carta-sonora acerca do Estado das Coisas na periferia da maior metrópole do Terceiro Mundo nesses primeiros anos 2000 (o futuro que não chegou!), o disco é, pra começo de conversa, um largo passo em relação ao álbum de estréia, “Antigamente Quilombos, Hoje Periferia” (ybmusic). <a href=""https://www.last.fm/music/+noredirect/Z%27%C3%A1frica+Brasil"">Read more on Last.fm</a>",4206,54565,"['Thaide & DJ Hum', 'OtroPlano', 'Potencial 3', 'Mamelo Sound System', 'Detentos do Rap']"
De La Soul,"De La Soul is an American hip-hop group formed in 1988 in the Amityville area of Long Island, New York. They are best known for their eclectic sampling, quirky lyrics, and their contributions to the evolution of the jazz rap and alternative hip-hop subgenres. The members are Posdnuos, Maseo, and Trugoy (until his death in 2023). The three formed the group in high school and caught the attention of producer Prince Paul with a demo tape of the song ""Plug Tunin'"". <a href=""https://www.last.fm/music/De+La+Soul"">Read more on Last.fm</a>",1256774,25180141,"['A Tribe Called Quest', 'The Roots', 'Jungle Brothers', 'The Pharcyde', 'Digable Planets']"
Daniele Silvestri,"Daniele Silvestri is an Italian songwriter from Rome, where he was born in 1968. After having participated several times in Sanremo Festival, where he became successful with the song ""Salirò"" in 2002, he played a concert with Inti Illimani (the famous Chilean group) last summer at Roma Rock Festival. <a href=""https://www.last.fm/music/Daniele+Silvestri"">Read more on Last.fm</a>",129758,1858788,"['Max Gazzè', 'Samuele Bersani', 'Niccolò Fabi', 'Subsonica', 'Brunori Sas']"
El Roockie,"Iván Bladimir Banista, better known as El Roockie or The Roockie (english) is a Panamanian reggae recording artist, currently signed to Luny Tunes' Mas Flow Inc. He is widely praised for his powerful and delivering lyrics, earning him the nickname King of Lyrics and Maquina de Lirica.

Banista came from the humble origins of Chorrillo y San Miguel, Panama. He begins in the world of reggae 1996 recording for the CD ""Reggae Overload"" although previously recorded for the CD ""Reggae Nonviolence"" a CD somewhat unknown if not ""witch. <a href=""https://www.last.fm/music/El+Roockie"">Read more on Last.fm</a>",18767,142282,"['Danger Man', 'Aspirante', 'El Rookie', 'Nando Boom', 'JR Ranks']"
